DATE,AGE_GROUP,ONE_DOSE_VAX_PCT,FULL_VAX_PCT
2021-04-15,18-44,0.3200630307304965,0.17545735905604387
2021-04-15,45-64,0.4862878217966415,0.30469799424152755
2021-04-15,65-74,0.7227885985965953,0.5832761694657864
2021-04-15,75+,0.6307050211378475,0.51978726294843
2021-04-16,0-17,0.008687033322808313,0.0014603466141305073
2021-04-16,18-44,0.32766818748741783,0.18008903219914588
2021-04-16,45-64,0.4932958190406448,0.31394428718323525
2021-04-16,65-74,0.7275109196991526,0.5911854080125154
2021-04-16,75+,0.6343252271619343,0.5256750925030568
2021-04-17,0-17,0.009836076509488085,0.0015353929761052383
2021-04-17,18-44,0.33973385684718266,0.1859093521142778
2021-04-17,45-64,0.503223973745705,0.32539794699179053
2021-04-17,65-74,0.7334523971394131,0.6010685187250497
2021-04-17,75+,0.6388824511911517,0.5331332763264099
