DATE,AGE_GROUP,CASE_COUNT
2021-02-04,75+,42443
2021-02-03,0-17,46689
2021-02-03,18-44,227138
2021-02-03,45-64,245593
2021-02-03,65-74,51278
2021-02-03,75+,42319
2021-02-02,0-17,46263
2021-02-02,18-44,226031
2021-02-02,45-64,244565
2021-02-02,65-74,51075
2021-02-02,75+,42167
2021-02-01,0-17,45828
2021-02-01,18-44,224684
2021-02-01,45-64,243289
2021-02-01,65-74,50798
2021-02-01,75+,41994
2021-01-31,0-17,45292
2021-01-31,18-44,223287
2021-01-31,45-64,241874
2021-01-31,65-74,50505
2021-01-31,75+,41757
2021-01-30,0-17,44670
2021-01-30,18-44,221254
2021-01-30,45-64,240025
2021-01-30,65-74,50147
2021-01-30,75+,41500
2021-01-29,0-17,43926
2021-01-29,18-44,218937
2021-01-29,45-64,237820
2021-01-29,65-74,49726
2021-01-29,75+,41201
2021-01-28,0-17,43274
2021-01-28,18-44,216810
2021-01-28,45-64,235853
2021-01-28,65-74,49315
2021-01-28,75+,40938
2021-01-27,0-17,42607
2021-01-27,18-44,214642
2021-01-27,45-64,233735
2021-01-27,65-74,48888
2021-01-27,75+,40622
2021-01-26,0-17,42209
2021-01-26,18-44,213304
2021-01-26,45-64,232451
2021-01-26,65-74,48636
2021-01-26,75+,40443
2021-01-25,0-17,41638
2021-01-25,18-44,211568
2021-01-25,45-64,230772
2021-01-25,65-74,48287
2021-01-25,75+,40217
2021-01-24,0-17,41107
2021-01-24,18-44,209825
2021-01-24,45-64,229023
2021-01-24,65-74,47902
2021-01-24,75+,39950
2021-01-23,0-17,40402
2021-01-23,18-44,207508
2021-01-23,45-64,226925
2021-01-23,65-74,47483
2021-01-23,75+,39636
2021-01-22,0-17,39798
2021-01-22,18-44,205305
2021-01-22,45-64,224862
2021-01-22,65-74,47082
2021-01-22,75+,39344
2021-01-21,0-17,39132
2021-01-21,18-44,203094
2021-01-21,45-64,222635
2021-01-21,65-74,46645
2021-01-21,75+,39023
2021-01-20,0-17,38589
2021-01-20,18-44,201255
2021-01-20,45-64,220843
2021-01-20,65-74,46239
2021-01-20,75+,38707
2021-01-19,0-17,38114
2021-01-19,18-44,199621
2021-01-19,45-64,219373
2021-01-19,65-74,45959
2021-01-19,75+,38510
2021-01-18,0-17,37492
2021-01-18,18-44,197625
2021-01-18,45-64,217462
2021-01-18,65-74,45571
2021-01-18,75+,38272
2021-01-17,0-17,36884
2021-01-17,18-44,195648
2021-01-17,45-64,215495
2021-01-17,65-74,45196
2021-01-17,75+,37992
2021-01-16,0-17,36209
2021-01-16,18-44,193385
2021-01-16,45-64,213498
2021-01-16,65-74,44774
